Bundesamt für Meteorologie und Klimatologie, MeteoSchweiz
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Stationskürzel
y   Jahr
M   Monat
d   Tag
H   Stunde
m   Minute

Zeitangaben in UTC: 00:40 UTC = 02:40 Sommerzeit
                              = 01:40 Winterzeit

Zeitbezug bei Stundenwerten, sofern in der Parameterbeschreibung nicht anders vermerkt: HH  = (HH-1):01 - HH:00
Beispiel: 13 = beinhaltet Messperiode von 12:01 bis 13:00 

Fehlende Messwerte sind gekenntzeichnet mit '-'

Qualitätsinformationen: Die Legende zu den Qualitätsinformationen ist zu finden unter: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_de.pdf

 




Stationen
---------
stn       Name                                 Parameter        Datenquelle                                        Länge/Breite             Koordinaten [km] Höhe ü. M. [m]
OHD       Oberehrendingen                      mtria59d         MeteoSchweiz                                       8°20'/47°29'             667350/259400    490
OLG       Oberlangenegg                        mtria59d         MeteoSchweiz                                       7°43'/46°48'             621191/184156    910
OES       Oeschberg                            mtria59d         MeteoSchweiz                                       7°37'/47°08'             613250/219525    485
OBO       Orbe / Bochuz                        mtria59d         MeteoSchweiz                                       6°32'/46°43'             531000/175000    485
ORV       Orvin                                mtria59d         MeteoSchweiz                                       7°13'/47°09'             583000/223000    700
OST       Osterfingen                          mtria59d         MeteoSchweiz                                       8°29'/47°39'             679000/279000    410
POS       Posieux                              mtria59d         MeteoSchweiz                                       7°06'/46°46'             574000/179000    680
RAF       Rafz                                 mtria59d         MeteoSchweiz                                       8°33'/47°37'             683000/275000    515
RAW       Raperswilen, TG                      mtria59d         MeteoSchweiz                                       9°03'/47°38'             721000/277000    595
ROF       Rochefort I                          mtria59d         MeteoSchweiz                                       6°49'/46°59'             552180/203193    770
RON       Romanshorn                           mtria59d         MeteoSchweiz                                       9°23'/47°34'             745800/269900    405
SLZ       Salez                                mtria59d         MeteoSchweiz                                       9°31'/47°14'             757000/233000    450
